fieldID, ra (rad), dec (rad)
(212, 5.777943168342986, -1.1618900456502765)
(213, 0.5052421721261138, -1.1618900456502765)
(214, 5.531791449844702, -1.1618897793341687)
(215, 0.7513937241768256, -1.1618897793341687)
(216, 4.275153855776568, -1.161889513018059)
(217, 2.008031451403018, -1.161889513018059)
(218, 3.018517593288975, -1.161889513018059)
(219, 3.2646701107355827, -1.161889379860005)
(220, 4.5213071721715, -1.161889379860005)
(221, 1.7618784013241942, -1.161889379860005)
(222, 0.0, -1.1531394309404948)
(223, 3.7699095864111043, -1.1531391646243867)
(224, 2.5132757207684824, -1.1531391646243867)
(225, 5.026549311008101, -1.153138765150223)
(226, 1.256636129329536, -1.153138765150223)
(227, 3.6333245762164155, -1.1506630906008855)
(228, 2.649860730963171, -1.1506630906008855)
(229, 1.1200519180831867, -1.1506629574428295)
(230, 5.163135919099437, -1.1506625579686662)
(231, 3.906498058715196, -1.150662424810612)
(232, 2.37668724846439, -1.150662424810612)
(233, 6.146599231720484, -1.1506622916525582)
(234, 0.1365859589458143, -1.1506622916525582)
(235, 4.889962170284567, -1.1506621584945025)
(236, 1.3932231368950292, -1.1506621584945025)
(237, 4.756377477373958, -1.1431874642629767)
(238, 1.5268078298056211, -1.1431874642629767)
(239, 4.040081686361354, -1.1431871979468688)
(240, 2.2431036208182316, -1.1431871979468688)
(241, 3.499740948570274, -1.1431871979468688)
(242, 2.783444358609312, -1.1431871979468688)
(243, 5.2967200793778115, -1.143186798472705)
(244, 0.986465427538858, -1.143186798472705)
(245, 6.013014538809875, -1.1431866653146514)
(246, 0.27017081830397544, -1.1431866653146514)
(247, 4.398230780290143, -1.1400903410732701)
(248, 1.8849545268894443, -1.1400903410732701)
(249, 5.654866776461628, -1.1400898084410522)
(250, 0.6283187304550404, -1.1400898084410522)
(251, 3.141592653589793, -1.1400896752829965)
(252, 3.3719140099364306, -1.1306700745073868)
(253, 2.911271297243156, -1.1306700745073868)
(254, 4.167908092362965, -1.130669808191279)
(255, 2.1152773479746667, -1.130669808191279)
(256, 5.424543822218343, -1.130669808191279)
(257, 0.8586415515402714, -1.130669808191279)
(258, 4.628552669268995, -1.1306695418751693)
(259, 1.6546326379105911, -1.1306695418751693)
(260, 5.885188665440481, -1.130668742926842)
(261, 0.39799654187056976, -1.130668742926842)
(262, 4.287769782492496, -1.113208526188065)
(263, 1.9954153915290451, -1.113208526188065)
(264, 3.252053917703547, -1.1132084596090372)
(265, 3.031131389476039, -1.1132084596090372)
(266, 4.508692843352237, -1.113208326450983)
(267, 1.774492463827349, -1.113208326450983)
(268, 5.544407909192845, -1.1132079935558474)
(269, 0.7387776643028475, -1.1132079935558474)
(270, 5.765327774259274, -1.113207327765574)
(271, 0.5178577326573874, -1.113207327765574)
(272, 3.707796946623292, -1.1096521408683735)
(273, 2.575388360556294, -1.1096521408683735)
(274, 6.2210697379145685, -1.1096520742893456)
(275, 0.06211558590976503, -1.1096520742893456)
(276, 5.088663282376452, -1.1096520077103178)
(277, 1.1945220248031267, -1.1096520077103178)
(278, 3.8320264872566434, -1.1096518745522639)
(279, 2.451158819922943, -1.1096518745522639)
(280, 4.9644321438464365, -1.1096508758668548)
(281, 1.3187531633331429, -1.1096508758668548)
(282, 5.211791339582973, -1.1051607196899544)
(283, 1.0713941673337035, -1.1051607196899544)
(284, 3.955151881302067, -1.1051606531109264)
(285, 2.328033425877519, -1.1051606531109264)
(286, 4.841307282433245, -1.1051604533738448)
(287, 1.441877891588287, -1.1051604533738448)
(288, 3.5846696883651123, -1.1051603867948185)
(289, 2.698515618814474, -1.1051603867948185)
(290, 6.097943811236947, -1.105159987320655)
(291, 0.18524151258739766, -1.105159987320655)
(292, 3.464789356107957, -1.0961129627815465)
(293, 2.818395951071629, -1.0961129627815465)
(294, 4.721425085963335, -1.0961128962025186)
(295, 1.5617600880582023, -1.0961128962025186)
(296, 4.075033278823654, -1.0961125633073827)
(297, 2.2081520283559324, -1.0961125633073827)
(298, 5.978064277928117, -1.0961123635703012)
(299, 0.30512119569903584, -1.0961123635703012)
(300, 5.3316703402595715, -1.096112230412247)
(301, 0.9515151000780672, -1.096112230412247)
(302, 3.141592653589793, -1.0910174700888704)
(303, 4.398229981341818, -1.0910170706147067)
(304, 1.8849553258377678, -1.0910170706147067)
(305, 5.654866776461628, -1.0910169374566527)
(306, 0.6283184641389308, -1.0910169374566527)
(307, 3.350065436353412, -1.0824739827328682)
(308, 2.9331198708261748, -1.0824739827328682)
(309, 4.189756133313768, -1.082473782995788)
(310, 2.093429173865818, -1.082473782995788)
(311, 5.863339559225246, -1.0824734501006505)
(312, 0.41984601427044616, -1.0824734501006505)
(313, 5.446395591594657, -1.0824733835216245)
(314, 0.8367899153220062, -1.0824733835216245)
(315, 4.606702497789329, -1.0824733169425966)
(316, 1.676482543074146, -1.0824733169425966)
(317, 3.7699119832560757, -1.0668653953209961)
(318, 2.513273323923511, -1.0668653953209961)
(319, 5.026549311008101, -1.0668652621629422)
(320, 1.2566359961714821, -1.0668652621629422)
(321, 0.0, -1.0668649292678063)
(322, 4.9132999835491304, -1.0648431239472442)
(323, 1.3698854567885008, -1.0648431239472442)
(324, 3.88316077808283, -1.0648427244730807)
(325, 2.4000245290967563, -1.0648427244730807)
(326, 3.6566613242165666, -1.0648427244730807)
(327, 2.62652398296302, -1.0648427244730807)
(328, 5.1397981058348545, -1.0648426578940546)
(329, 1.1433874676608429, -1.0648426578940546)
(330, 6.169936512352832, -1.064842191840863)
(331, 0.11324891966242367, -1.064842191840863)
(332, 5.755275406408663, -1.0643232749024607)
(333, 0.527910033928974, -1.0643232749024607)
(334, 4.297821351394783, -1.0643232083234346)
(335, 1.9853640889428659, -1.0643232083234346)
(336, 3.242001283536828, -1.0643232083234346)
(337, 3.041184023642758, -1.0643232083234346)
(338, 5.554457613882377, -1.0643223427960795)
(339, 0.7287274935601348, -1.0643223427960795)
(340, 4.498638344972746, -1.0643222762170517)
(341, 1.7845470953648859, -1.0643222762170517)
(342, 5.2514447429498174, -1.0587345647759028)
(343, 1.0317408305458875, -1.0587345647759028)
(344, 4.80165281380197, -1.058734365038821)
(345, 1.4815326265356754, -1.058734365038821)
(346, 3.5450149534177284, -1.0587342318807669)
(347, 2.7381703537618574, -1.0587342318807669)
(348, 6.058289342605672, -1.0587342318807669)
(349, 0.22489586470538095, -1.0587342318807669)
